entry_num,timestamp,source_url,selected,selected_role,selected_rank,selected_region,selected_platform,selected_gamemode,hero_id,hero_name,pickrate,winrate,role,pull_datetime_utc,pull_date
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,junker-queen,Junker Queen,8.4,57.6,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,junkrat,Junkrat,7.9,50.9,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,juno,Juno,16.4,50.9,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,kiriko,Kiriko,26.4,47.2,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,lifeweaver,Lifeweaver,9.3,45.1,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,lucio,Lúcio,9.4,56.3,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,mauga,Mauga,5.2,52.4,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,mei,Mei,7.1,50.0,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,mercy,Mercy,9.1,48.1,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,moira,Moira,16.9,49.1,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,orisa,Orisa,14.6,45.7,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
